,,Manual counts,,,,,,,,,,,,,,,,,,
,,Joon-Ho,,Tiger,,Will,,Kelvin,Rasika,,Arjun,,,,,,,,
Image Set,Series,Count,Time,Count,Time,Count,Time,Count,Time,Count,Time,Count,Time,Time mean,Count mean,Count range,ITCN,ITCN % Error,SC (pre-dip lining),SC % Error
22.lif ,1,1332,15,897,12,1122,12,1131,9,1281,15,857,20,14,"1,103",475,1250,13.29305136,1022,7.371601208
,2,851,10,580,5,859,12,870,5,868,6,725,12,8,792,290,744,6.080370292,770,2.798232695
,3,1003,9,606,6,1115,13,1010,6,1162,10,1092,16,10,998,556,812,18.63727455,960,3.80761523
33.lif,1,831,8,596,5,715,9,633,4,829,10,771,11,8,729,235,607,16.75428571,865,18.62857143
,2,632,5,613,6,746,10,817,6,854,7,771,11,8,739,241,798,8.008120911,738,0.1127904354
,3,598,7,515,6,502,7,333,4,631,6,636,9,7,536,303,777,45.00777605,686,28.02488336
49.lif ,1,823,8,825,9,792,9,930,5,883,9,784,12,9,840,146,795,5.30077427,785,6.4919595
,2,662,11,631,7,671,8,716,5,643,6,648,10,8,662,85,753,13.77486779,635,4.054394359
,3,935,8,948,8,1079,12,1107,6,1047,12,983,13,10,"1,017",172,874,14.01869159,1003,1.328086572
